specobjid,SOURCETYPE,RA,Dec,plate,ra,dec,objid,run,rerun,camcol,field,z,mjd,fiberID,run2d,wavelength,red shift,red shift error,flux,g sn,r sn,i sn,central wavelength
501139014544287744,GALAXY                   ,129.21046,51.750931,445,129.210470473617,51.7509520930817,1237651271350222947,1350,301,1,164,0.1242555,51873,413,26,[3.5814 3.5815 3.5816 ... 3.9645 3.9646 3.9647],[ 6.779356 16.253054  6.33085  ... 28.477669 30.798937 33.120358],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501139289422194688,QSO                      ,129.46,51.378235,445,129.459978658967,51.3782587708756,1237651191894376591,1331,301,5,180,0.1070549,51873,414,26,[3.5814 3.5815 3.5816 ... 3.9645 3.9646 3.9647],[ 9.952187  14.879131   8.940486  ...  2.5716467  6.305759  10.040127 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501139839178008576,QSO                      ,129.28688,51.238752,445,129.286883539232,51.2387498082328,1237651191894311051,1331,301,5,179,0.1988237,51873,416,26,[3.5814 3.5815 3.5816 ... 3.9645 3.9646 3.9647],"[-0.82261413  2.7007577   6.9156017  ...  1.5194954   5.471892
  9.424551  ]",-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501140114055915520,GALAXY                   ,129.23576,51.495354,445,129.235800161639,51.4953515512192,1237651252022280358,1345,301,5,155,0.1062871,51873,417,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 7.9054914  8.79422    9.843684  ... 24.574852  25.215439  24.391792 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501140388933822464,GALAXY                   ,129.22864,51.539631,445,129.228591442133,51.5395354431294,1237651252022280259,1345,301,5,155,-0.0001250571,51873,418,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[65.623055 49.288044 45.94269  ... 64.52555  63.495815 58.088673],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501140663811729408,QSO                      ,129.58362,51.167384,445,129.583629678082,51.1674022940824,1237651251485343938,1345,301,4,154,0.2724262,51873,419,26,[3.5813 3.5814 3.5815 ... 3.9643 3.9644 3.9645],[12.161551   9.91925   14.834017  ...  5.7459426  6.154193   2.9330828],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501140938689636352,QSO                      ,129.25155,51.448133,445,129.251567631262,51.4481252118251,1237651252022280222,1345,301,5,155,1.852959,51873,420,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[11.240942   8.873771  20.657349  ...  3.8471677  1.6576841  2.1897037],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501141213567543296,GALAXY                   ,128.5447,51.052929,445,128.544721522499,51.0529516457194,1237651252022018216,1345,301,5,151,0.07427485,51873,421,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 7.792583   4.788776  -2.8440325 ... 38.04705   37.904865  38.57794  ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501141488445450240,GALAXY                   ,128.4922,51.197548,445,128.49220682977,51.1975282507645,1237651271349895367,1350,301,1,159,0.2760352,51873,422,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 7.2552123  2.64773   -1.855921  ...  7.3182077  7.425114   8.13476  ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501141763323357184,QSO                      ,128.69234,50.738697,445,128.692331054932,50.7387106442298,1237651191894048951,1331,301,5,175,1.22081,51873,423,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[20.776165  21.663872  24.022583  ...  4.6098075  4.156302   2.9258702],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
